Site ,Pairing Approach,Health_Status,Health,DBH (cm),Crown _Size,Foliar_Density,Dead_Branches,Epicormic_Growth ,Foliar_Damage ,Dieback_Scores,Tree No
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 1,65,4,4,5,5,4,22,HT1
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 2,55.5,5,5,5,5,4,24,HT2
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 3,36,4,4,4,5,4,21,HT3
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 4,35,4,4,5,5,4,22,HT4
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 5,40.5,5,5,5,5,5,25,HT5
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 6,33.5,5,5,5,5,5,25,HT6
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 7,39.3,5,5,5,5,4,24,HT7
Bunyan TSR ,Unpaired ,Healthy,Healthy Tree 8,48,5,5,5,5,4,24,HT8
Jibolaro,Unpaired ,Healthy,Healthy Tree 1,38,5,5,5,5,4,24,HT1
Jibolaro,Unpaired ,Healthy,Healthy Tree 2,60,5,5,4,5,4,23,HT2
Jibolaro,Unpaired ,Healthy,Healthy Tree 3,50,5,5,5,5,4,24,HT3
Jibolaro,Unpaired ,Healthy,Healthy Tree 4,25,5,5,5,5,4,24,HT4
Jibolaro,Unpaired ,Healthy,Healthy Tree 5,36,5,4,5,5,4,23,HT5
Jibolaro,Unpaired ,Healthy,Healthy Tree 6,20,5,5,4,5,4,23,HT6
Jibolaro,Unpaired ,Healthy,Healthy Tree 7,32,5,5,5,5,4,24,HT7
Jibolaro,Unpaired ,Healthy,Healthy Tree 8,37,5,4,4,5,4,22,HT8
Coolringdon,Unpaired ,Healthy,Healthy Tree 1,108,4,5,4,5,3,21,HT1
Coolringdon,Unpaired ,Healthy,Healthy Tree 2,62,4,5,5,5,3,22,HT2
Coolringdon,Unpaired ,Healthy,Healthy Tree 3,66,4,4,4,5,3,20,HT3
Coolringdon,Unpaired ,Healthy,Healthy Tree 4,51,4,4,4,5,4,21,HT4
Coolringdon,Unpaired ,Healthy,Healthy Tree 5,77,4,4,5,5,3,21,HT5
Coolringdon,Unpaired ,Healthy,Healthy Tree 6,85,4,5,5,5,3,22,HT6
Coolringdon,Unpaired ,Healthy,Healthy Tree 7,76,4,5,5,5,4,23,HT7
Coolringdon,Unpaired ,Healthy,Healthy Tree 8,38,4,4,4,5,4,21,HT8
Woodstock,Paired,Healthy,Healthy Tree 1,57,4,4,4,5,3,20,HT1
Woodstock,Paired,Healthy,Healthy Tree 2,43,5,5,4,5,4,23,HT2
Woodstock,Paired,Healthy,Healthy Tree 3,58,4,4,5,5,3,21,HT3
Woodstock,Paired,Healthy,Healthy Tree 4,62,4,5,4,3,3,19,HT4
Woodstock,Paired,Healthy,Healthy Tree 5,33,5,5,4,5,3,22,HT5
Woodstock,Paired,Healthy,Healthy Tree 6,55,4,4,5,5,3,21,HT6
Woodstock,Paired,Healthy,Healthy Tree 7,114,4,4,4,5,3,20,HT7
Woodstock,Paired,Healthy,Healthy Tree 8,58.2,5,5,4,5,3,22,HT8
Woodstock,Paired,Dieback,Dieback Tree 1,70,2,2,2,1,3,10,DT1
Woodstock,Paired,Dieback,Dieback Tree 2,70,4,4,2,3,3,16,DT2
Woodstock,Paired,Dieback,Dieback Tree 3,39,2,3,2,3,2,12,DT3
Woodstock,Paired,Dieback,Dieback Tree 4,41.5,2,2,2,3,2,11,DT4
Woodstock,Paired,Dieback,Dieback Tree 5,70,3,3,3,3,2,14,DT5
Woodstock,Paired,Dieback,Dieback Tree 6,57,3,3,2,3,3,14,DT6
Woodstock,Paired,Dieback,Dieback Tree 7,56,2,2,2,1,2,9,DT7
Woodstock,Paired,Dieback,Dieback Tree 8,49,1,2,1,1,1,6,DT8
Sunnysite,Paired,Healthy,Healthy Tree 1,29,4,4,4,5,3,20,HT1
Sunnysite,Paired,Healthy,Healthy Tree 2,11,5,5,5,5,2,22,HT2
Sunnysite,Paired,Healthy,Healthy Tree 3,45,5,5,5,5,3,23,HT3
Sunnysite,Paired,Healthy,Healthy Tree 4,79,4,4,4,3,3,18,HT4
Sunnysite,Paired,Healthy,Healthy Tree 5,39,5,5,5,5,4,24,HT5
Sunnysite,Paired,Healthy,Healthy Tree 6,36,5,5,5,5,3,23,HT6
Sunnysite,Paired,Healthy,Healthy Tree 7,31,5,5,5,5,3,23,HT7
Sunnysite,Paired,Healthy,Healthy Tree 8,34,5,5,5,3,2,20,HT8
Sunnysite,Paired,Dieback,Dieback Tree 1,55,2,3,2,1,2,10,DT1
Sunnysite,Paired,Dieback,Dieback Tree 2,37,3,3,2,1,2,11,DT2
Sunnysite,Paired,Dieback,Dieback Tree 3,32,1,2,2,1,1,7,DT3
Sunnysite,Paired,Dieback,Dieback Tree 4,28.3,1,2,1,1,1,6,DT4
Sunnysite,Paired,Dieback,Dieback Tree 5,46,3,3,3,3,2,14,DT5
Sunnysite,Paired,Dieback,Dieback Tree 6,37.3,1,1,1,1,2,6,DT6
Sunnysite,Paired,Dieback,Dieback Tree 7,48,2,3,2,1,1,9,DT7
Sunnysite,Paired,Dieback,Dieback Tree 8,42.8,2,3,2,3,1,11,DT8
Sunnysite,Paired,Healthy,Healthy Tree 1,63,4,5,4,5,2,20,HT1
Sunnysite,Paired,Healthy,Healthy Tree 2,58,5,5,5,5,2,22,HT2
Sunnysite,Paired,Healthy,Healthy Tree 3,47,5,5,5,5,3,23,HT3
Sunnysite,Paired,Healthy,Healthy Tree 4,35,4,4,4,5,2,19,HT4
Sunnysite,Paired,Healthy,Healthy Tree 5,27,4,4,4,3,2,17,HT5
Sunnysite,Paired,Healthy,Healthy Tree 6,23,5,5,5,5,3,23,HT6
Sunnysite,Paired,Healthy,Healthy Tree 7,28,5,5,5,5,3,23,HT7
Sunnysite,Paired,Healthy,Healthy Tree 8,68,4,4,4,5,3,20,HT8
Maffra,Paired,Dieback,Dieback Tree 1,63,2,1,1,1,2,7,DT1
Maffra,Paired,Dieback,Dieback Tree 2,88,1,1,1,1,3,7,DT2
Maffra,Paired,Dieback,Dieback Tree 3,82,1,1,1,5,2,10,DT3
Maffra,Paired,Dieback,Dieback Tree 4,21,1,2,1,1,2,7,DT4
Maffra,Paired,Dieback,Dieback Tree 5,133,1,1,1,1,1,5,DT5
Maffra,Paired,Dieback,Dieback Tree 6,46,1,1,1,1,2,6,DT6
Maffra,Paired,Dieback,Dieback Tree 7,81,2,2,1,1,2,8,DT7
Maffra,Paired,Dieback,Dieback Tree 8,91,2,2,2,1,2,9,DT8
Maffra,Paired,Healthy,Healthy Tree 1,190,5,5,5,5,3,23,HT1
Maffra,Paired,Healthy,Healthy Tree 2,89,5,5,5,5,2,22,HT2
Maffra,Paired,Healthy,Healthy Tree 3,47,4,4,4,5,3,20,HT3
Maffra,Paired,Healthy,Healthy Tree 4,106,5,5,5,5,2,22,HT4
Maffra,Paired,Healthy,Healthy Tree 5,39,5,5,5,5,3,23,HT5
Maffra,Paired,Healthy,Healthy Tree 6,81,5,5,5,5,3,23,HT6
Maffra,Paired,Healthy,Healthy Tree 7,93,5,5,5,5,2,22,HT7
Maffra,Paired,Healthy,Healthy Tree 8,94,4,4,4,5,2,19,HT8
Native Dog ,Unpaired ,Healthy,Healthy Tree 1,87,4,5,4,5,4,22,HT1
Native Dog ,Unpaired ,Healthy,Healthy Tree 2,44,5,5,5,5,3,23,HT2
Native Dog ,Unpaired ,Healthy,Healthy Tree 3,51,4,5,4,5,4,22,HT3
Native Dog ,Unpaired ,Healthy,Healthy Tree 4,64,4,4,4,5,4,21,HT4
Native Dog ,Unpaired ,Healthy,Healthy Tree 5,101,5,5,5,5,3,23,HT5
Native Dog ,Unpaired ,Healthy,Healthy Tree 6,51,5,5,5,5,4,24,HT6
Native Dog ,Unpaired ,Healthy,Healthy Tree 7,146,5,5,5,5,4,24,HT7
Native Dog ,Unpaired ,Healthy,Healthy Tree 8,131,5,5,5,5,4,24,HT8
Gegedzerick,Paired,Healthy,Healthy Tree 1,44.5,5,4,4,5,4,22,HT1
Gegedzerick,Paired,Healthy,Healthy Tree 2,46,5,4,4,5,4,22,HT2
Gegedzerick,Paired,Healthy,Healthy Tree 3,21,5,5,5,5,4,24,HT3
Gegedzerick,Paired,Healthy,Healthy Tree 4,22,4,4,5,5,3,21,HT4
Gegedzerick,Paired,Healthy,Healthy Tree 5,32,5,5,5,5,3,23,HT5
Gegedzerick,Paired,Healthy,Healthy Tree 6,21,4,5,5,5,4,23,HT6
Gegedzerick,Paired,Healthy,Healthy Tree 7,46.5,5,5,5,5,4,24,HT7
Gegedzerick,Paired,Healthy,Healthy Tree 8,15,5,5,5,5,3,23,HT8
Gegedzerick,Paired,Dieback,Dieback Tree 1,40,4,4,4,3,2,17,DT1
Gegedzerick,Paired,Dieback,Dieback Tree 2,38.5,2,2,2,3,4,13,DT2
Gegedzerick,Paired,Dieback,Dieback Tree 3,35,3,3,2,1,4,13,DT3
Gegedzerick,Paired,Dieback,Dieback Tree 4,57,4,4,3,3,3,17,DT4
Gegedzerick,Paired,Dieback,Dieback Tree 5,33,2,2,2,3,2,11,DT5
Gegedzerick,Paired,Dieback,Dieback Tree 6,17.5,3,3,3,3,2,14,DT6
Gegedzerick,Paired,Dieback,Dieback Tree 7,22,3,3,4,3,3,16,DT7
Gegedzerick,Paired,Dieback,Dieback Tree 8,65,1,1,1,1,2,6,DT8
Bobundara ,Paired,Healthy,Healthy Tree 1,12,5,5,5,5,3,23,HT1
Bobundara ,Paired,Healthy,Healthy Tree 2,12,5,5,5,5,4,24,HT2
Bobundara ,Paired,Healthy,Healthy Tree 3,9.5,5,5,5,5,4,24,HT3
Bobundara ,Paired,Healthy,Healthy Tree 4,20.4,5,4,5,5,4,23,HT4
Bobundara ,Paired,Healthy,Healthy Tree 5,26,5,4,5,5,4,23,HT5
Bobundara ,Paired,Healthy,Healthy Tree 6,23,5,5,5,5,4,24,HT6
Bobundara ,Paired,Healthy,Healthy Tree 7,28.4,5,5,5,5,3,23,HT7
Bobundara ,Paired,Healthy,Healthy Tree 8,21.3,5,5,5,5,4,24,HT8
Bobundara ,Paired,Dieback,Dieback Tree 1,23,4,3,3,1,3,14,DT1
Bobundara ,Paired,Dieback,Dieback Tree 2,19,3,3,2,1,2,11,DT2
Bobundara ,Paired,Dieback,Dieback Tree 3,27,1,1,1,1,2,6,DT3
Bobundara ,Paired,Dieback,Dieback Tree 4,14.5,2,2,2,3,2,11,DT4
Bobundara ,Paired,Dieback,Dieback Tree 5,20.2,2,2,1,1,3,9,DT5
Bobundara ,Paired,Dieback,Dieback Tree 6,16,1,1,1,1,3,7,DT6
Bobundara ,Paired,Dieback,Dieback Tree 7,21.4,2,2,2,3,2,11,DT7
Bobundara ,Paired,Dieback,Dieback Tree 8,15.8,3,3,3,3,2,14,DT8
